"Service","EC2-Other($)","S3($)","EC2-Instances($)","VPC($)","Tax($)","Glue($)","Key Management Service($)","Secrets Manager($)","Location Service($)","SNS($)","SQS($)","Data Transfer($)","Total costs($)"
"Service total","0.0155143688","1e-7","0","0","0","0","0","0","0","0","0","-0.015514466","2.8e-9"
"2025-06-18","","","","","","","","","","","","","0"
"2025-07-01","","","","","","","","","","","","","0"
"2025-08-01","","","","","","","","","","","","","0"
"2025-09-01","","","","","","","","","","","","","0"
"2025-10-01","","","","","","","","","","","","","0"
"2025-11-01","","","","","","","","","","","","","0"
"2025-12-01","","","","","","","","","","","","","0"
"2026-01-01","0.0000003152","","0","0","0","","","","","","","-0.0000003192","-4e-9"
"2026-02-01","0.0000001857","0.0000000653","0","0","0","0","0","0","0","0","0","-0.0000002396","1.14e-8"
"2026-03-01","","0.0000000143","","","","0","","0","","0","","-0.0000000144","-1e-10"
"2026-04-01","","0.0000000068","","","","0","0","","","","","-0.0000000068","0"
"2026-05-01","0.0000012429","0.0000000084","0","0","0","0","0","","","","","-0.0000012535","-2.2e-9"
"2026-06-01","0.015512625","0.0000000052","0","0","0","0","0","","","","","-0.0155126325","-2.3e-9"
